nominal_time,pv,timestamp,value
2026-06-01T00:00:00,USEG:UNDS:2150:KAct,2026-06-01T00:00:02,6.725062129133953
2026-06-01T00:00:00,USEG:UNDS:2250:KAct,2026-06-01T00:00:00,6.72696357135488
2026-06-01T00:00:00,USEG:UNDS:2350:KAct,2026-05-31T23:59:56,6.726536693442391
2026-06-01T00:00:00,USEG:UNDS:2450:KAct,2026-06-01T00:00:02,6.724772491594098
2026-06-01T00:00:00,USEG:UNDS:2550:KAct,2026-05-31T23:59:36,6.724057586925176
2026-06-01T00:00:00,USEG:UNDS:2650:KAct,2026-06-01T00:00:02,6.7249611294244485
2026-06-01T00:00:00,USEG:UNDS:2750:KAct,2026-06-01T00:00:02,6.724410226463157
2026-06-01T00:00:00,USEG:UNDS:2850:KAct,2026-05-31T23:59:59,6.724680969380071
2026-06-01T00:00:00,USEG:UNDS:2950:KAct,2026-06-01T00:00:00,6.7243741335124305
2026-06-01T00:00:00,USEG:UNDS:3050:KAct,2026-05-31T23:59:51,6.724943444939528
2026-06-01T00:00:00,USEG:UNDS:3150:KAct,2026-06-01T00:00:02,6.724673599169667
2026-06-01T00:00:00,USEG:UNDS:3250:KAct,2026-06-01T00:00:02,6.7245965147312985
2026-06-01T00:00:00,USEG:UNDS:3350:KAct,2026-06-01T00:00:02,6.724864186865561
2026-06-01T00:00:00,USEG:UNDS:3450:KAct,2026-05-31T23:59:53,6.724085817114299
2026-06-01T00:00:00,USEG:UNDS:3650:KAct,2026-05-31T23:59:54,6.724638705950733
2026-06-01T00:00:00,USEG:UNDS:3750:KAct,2026-05-31T23:59:32,6.722934632696281
2026-06-01T00:00:00,USEG:UNDS:3850:KAct,2026-05-31T23:59:52,6.718377150579751
2026-06-01T00:00:00,USEG:UNDS:3950:KAct,2026-06-01T00:00:02,6.715974499691505
2026-06-01T00:00:00,USEG:UNDS:4050:KAct,2026-05-31T23:58:57,6.711830236040759
2026-06-01T00:00:00,USEG:UNDS:4150:KAct,2026-05-31T23:59:35,6.704956143228486
2026-06-01T00:00:00,USEG:UNDS:4250:KAct,2026-06-01T00:00:02,1.3725939148473192
2026-06-01T00:00:00,USEG:UNDS:4350:KAct,2026-05-31T23:59:57,1.8003883026660679
2026-06-01T00:00:00,USEG:UNDS:4450:KAct,2026-05-31T23:59:56,1.3215340152540307
2026-06-01T00:00:00,USEG:UNDS:4550:KAct,2026-06-01T00:00:02,1.7067959351103383
2026-06-01T00:00:00,USEG:UNDS:4650:KAct,2026-05-31T23:59:48,1.7535477305722151
2026-06-01T00:00:00,USEG:UNDS:4750:KAct,2026-06-01T00:00:00,1.6087383030836344
2026-06-01T04:00:00,USEG:UNDS:2150:KAct,2026-06-01T03:59:51,6.7250476130802825
2026-06-01T04:00:00,USEG:UNDS:2250:KAct,2026-06-01T03:59:56,6.727050458346672
2026-06-01T04:00:00,USEG:UNDS:2350:KAct,2026-06-01T04:00:01,6.726618261462791
2026-06-01T04:00:00,USEG:UNDS:2450:KAct,2026-06-01T03:59:54,6.724771638062182
2026-06-01T04:00:00,USEG:UNDS:2550:KAct,2026-06-01T03:59:51,6.724006870827356
2026-06-01T04:00:00,USEG:UNDS:2650:KAct,2026-06-01T03:59:54,6.725004690330177
2026-06-01T04:00:00,USEG:UNDS:2750:KAct,2026-06-01T04:00:02,6.724353123990159
2026-06-01T04:00:00,USEG:UNDS:2850:KAct,2026-06-01T04:00:02,6.724655557976247
2026-06-01T04:00:00,USEG:UNDS:2950:KAct,2026-06-01T03:59:58,6.72437706499406
2026-06-01T04:00:00,USEG:UNDS:3050:KAct,2026-06-01T03:59:57,6.7249379985397155
2026-06-01T04:00:00,USEG:UNDS:3150:KAct,2026-06-01T03:59:55,6.724592900047611
2026-06-01T04:00:00,USEG:UNDS:3250:KAct,2026-06-01T03:59:48,6.724581178256374
2026-06-01T04:00:00,USEG:UNDS:3350:KAct,2026-06-01T03:59:57,6.724880526560553
2026-06-01T04:00:00,USEG:UNDS:3450:KAct,2026-06-01T04:00:02,6.724088645185826
2026-06-01T04:00:00,USEG:UNDS:3650:KAct,2026-06-01T04:00:02,6.72466674158056
2026-06-01T04:00:00,USEG:UNDS:3750:KAct,2026-06-01T04:00:02,6.723016994570205
2026-06-01T04:00:00,USEG:UNDS:3850:KAct,2026-06-01T03:59:59,6.718458688407363
2026-06-01T04:00:00,USEG:UNDS:3950:KAct,2026-06-01T04:00:00,6.71606209656398
2026-06-01T04:00:00,USEG:UNDS:4050:KAct,2026-06-01T04:00:02,6.711891672233164
2026-06-01T04:00:00,USEG:UNDS:4150:KAct,2026-06-01T04:00:02,6.70503739994378
2026-06-01T04:00:00,USEG:UNDS:4250:KAct,2026-06-01T04:00:01,1.3725948384810847
2026-06-01T04:00:00,USEG:UNDS:4350:KAct,2026-06-01T03:59:57,1.8003820779345094
2026-06-01T04:00:00,USEG:UNDS:4450:KAct,2026-06-01T04:00:00,1.3215192758991878
2026-06-01T04:00:00,USEG:UNDS:4550:KAct,2026-06-01T03:59:53,1.7067900820370423
2026-06-01T04:00:00,USEG:UNDS:4650:KAct,2026-06-01T03:59:50,1.7535380142076202
2026-06-01T04:00:00,USEG:UNDS:4750:KAct,2026-06-01T03:59:16,1.6087353619030036
2026-06-01T08:00:00,USEG:UNDS:2150:KAct,2026-06-01T08:00:02,6.725296503823215
2026-06-01T08:00:00,USEG:UNDS:2250:KAct,2026-06-01T07:59:57,6.727508820938772
2026-06-01T08:00:00,USEG:UNDS:2350:KAct,2026-06-01T07:59:45,6.727144117830185
2026-06-01T08:00:00,USEG:UNDS:2450:KAct,2026-06-01T08:00:01,6.72513449313974
